,Actual,Predicted
3487,9,5
2977,2,2
5003,3,6
37,3,4
4305,12,5
101,7,5
5404,1,2
6909,8,4
3491,2,4
6722,4,6
4705,3,6
6767,6,5
132,7,4
1075,5,4
1618,5,5
642,1,4
4922,9,6
6186,3,4
4722,7,6
5582,5,6
1902,3,6
5044,10,6
2991,6,6
5213,3,4
2656,8,5
3666,2,5
2619,1,3
3252,6,4
1926,7,7
5030,4,5
3425,1,3
2666,10,7
4967,9,4
1477,9,6
1817,2,3
6118,5,3
4768,3,5
230,4,2
1891,5,5
4383,11,6
4328,12,7
2127,10,7
4087,7,5
5767,1,4
5300,3,5
6228,1,5
4942,5,5
2273,6,5
535,5,5
6930,1,5
4020,8,4
3035,2,5
2843,1,6
6717,6,4
408,5,4
6173,2,5
245,1,2
3227,12,8
2648,9,7
3620,4,8
5749,4,4
5595,3,4
6323,1,4
1765,15,6
1643,1,6
503,1,3
1406,7,6
5002,7,6
3129,4,5
1039,5,4
3213,2,5
6792,2,3
1193,1,4
469,2,4
437,7,6
6942,4,4
3102,5,6
6772,3,4
1374,6,4
6003,5,4
5441,2,2
5587,2,4
1550,8,5
3148,4,6
5017,2,6
239,7,6
1501,3,4
5218,1,5
3887,1,3
3492,4,2
2154,1,4
3933,4,6
6664,3,4
4885,3,7
3039,2,3
2840,1,3
6743,2,4
5344,4,5
1862,12,6
6147,7,4
5388,1,1
3698,2,5
696,10,4
6851,1,4
4103,4,2
4080,1,2
5850,1,6
6269,2,4
1047,9,4
1559,10,7
2829,5,4
3861,2,5
3082,6,6
3977,4,7
1115,11,7
5680,6,4
1425,6,7
381,13,6
3408,9,8
233,6,4
3961,12,7
2651,5,8
3971,4,6
5243,2,2
4302,1,3
3842,7,4
3412,13,7
79,7,4
3573,1,3
263,2,5
4335,4,5
3012,7,5
3355,4,5
2699,3,3
3771,4,6
6814,4,2
1755,1,2
2173,4,5
3905,1,5
2168,6,7
468,1,4
4523,6,6
393,1,2
6846,2,2
3437,2,5
4772,1,2
2804,9,6
3765,1,5
6578,4,5
3320,1,5
4173,2,5
435,8,5
5119,8,5
1188,10,4
3509,5,5
6796,1,2
5169,5,2
1423,4,7
3739,8,7
3625,1,5
2510,9,7
5690,3,3
1375,3,4
6496,1,3
2789,10,6
1210,1,2
1940,4,6
5434,2,5
932,5,4
1869,8,5
5817,3,6
177,2,3
6215,5,4
6821,2,3
4370,5,7
1544,1,4
2166,9,7
3078,1,3
2184,4,3
3194,1,5
1034,11,6
5414,2,6
1074,2,4
764,3,5
736,6,3
1870,12,5
3782,9,5
4372,9,5
6936,7,6
6691,2,2
496,8,6
6505,1,2
6617,5,3
3018,1,3
5394,3,5
538,4,4
4015,6,6
4810,1,4
3641,3,8
3418,6,4
1041,4,2
2519,4,3
1539,10,7
6183,1,2
3193,3,5
5998,2,4
5528,6,2
4291,10,7
6461,5,2
1512,4,5
2579,7,3
5282,10,4
6815,3,2
1263,1,4
5471,6,6
6339,4,6
2189,1,6
4602,2,4
5447,3,4
734,4,4
5050,2,4
1789,14,8
217,3,4
543,5,6
2375,2,6
5799,2,6
5339,11,5
1103,6,4
5012,2,3
2288,10,8
1657,1,3
2389,1,3
6122,4,2
4767,5,5
2948,4,8
185,9,4
3613,6,7
4284,3,5
1056,3,4
6550,6,5
5663,6,5
2673,8,5
6713,4,4
712,2,5
3951,1,3
544,7,7
733,12,5
2303,1,6
1005,5,3
50,6,4
169,13,3
511,8,7
6007,3,5
5962,3,2
2182,1,2
6194,8,5
3011,5,7
4918,5,5
1860,4,6
6506,7,2
1397,4,5
2691,12,7
2582,5,3
6272,4,6
3133,2,4
1558,5,7
1703,12,7
179,1,1
756,1,2
3844,2,5
1385,5,7
1221,9,7
6849,2,4
6018,1,2
6918,10,6
3824,8,5
2594,4,5
4595,7,3
168,9,5
5026,6,5
1393,1,4
3833,11,6
3393,9,5
3878,9,7
5102,6,4
5494,2,6
3164,7,6
3392,10,7
1783,3,6
3480,6,6
4011,6,6
706,2,4
1760,1,2
3206,9,7
752,1,4
5619,6,5
5456,4,6
5635,1,5
4088,2,5
4897,5,5
2592,9,7
2284,2,8
6858,6,4
2881,2,2
4053,2,4
4075,5,4
5916,4,4
5746,5,2
6705,4,4
4546,3,7
1195,6,5
6840,6,4
4128,9,7
1807,9,7
3153,4,5
6948,2,2
2229,8,8
4961,12,5
6809,4,2
95,14,4
6262,3,2
3169,2,7
1669,8,8
4401,6,6
457,3,5
6089,1,5
2877,3,5
3260,1,4
6180,2,2
2155,3,4
3996,7,6
5967,1,4
3150,7,7
2860,1,3
1650,4,7
6707,3,2
1656,2,3
3614,10,7
1201,7,6
4110,4,5
473,20,6
2505,1,6
5758,1,4
6535,1,5
2063,11,5
2899,1,3
6745,5,6
5834,3,6
3089,1,6
4998,3,5
5022,8,7
5802,6,4
5897,2,4
5934,2,4
2206,12,6
6379,4,5
1315,12,5
4077,4,4
2202,1,3
2893,8,5
6036,1,4
6056,5,4
2569,11,7
4411,3,5
2764,1,3
4392,9,5
5786,6,6
6055,3,5
61,9,5
5440,1,2
5710,1,4
4319,3,3
