iter	RMSE
0	3.250173068
1	3.038973544
2	2.925675276
3	2.846807267
4	2.807607218
5	2.787984976
6	2.758939508
7	2.747046878
8	2.739471382
9	2.732430243
10	2.723140539
11	2.718394481
12	2.710702983
13	2.704519293
14	2.697790796
15	2.69079917
16	2.690737814
17	2.690241935
18	2.68378311
19	2.678463817
20	2.672625349
21	2.669330993
22	2.66637317
23	2.663545567
24	2.656703081
25	2.654345351
26	2.652150038
27	2.650223403
28	2.644638947
29	2.642390982
30	2.639215986
31	2.634048284
32	2.630006372
33	2.624001183
34	2.619574164
35	2.614872659
36	2.608729536
37	2.606753494
38	2.604064076
39	2.598693004
40	2.593792084
41	2.590467086
42	2.587448523
43	2.581629384
44	2.580773386
45	2.577330597
46	2.575259914
47	2.572563334
48	2.56923433
49	2.566547739
50	2.564705471
51	2.562606812
52	2.558276601
53	2.556625272
54	2.553966813
55	2.551607035
56	2.548667441
57	2.547311635
58	2.545786146
59	2.542236978
60	2.540407531
61	2.539148165
62	2.535471639
63	2.53408179
64	2.532327224
65	2.529769538
66	2.527837973
67	2.525641629
68	2.523651573
69	2.521421417
70	2.519985514
71	2.518209844
72	2.517480004
73	2.515094249
74	2.514217104
75	2.513101206
76	2.512203357
77	2.510500661
78	2.509748746
79	2.508213858
80	2.506113354
81	2.505114934
82	2.503950197
83	2.50289586
84	2.500676904
85	2.499119195
86	2.496728273
87	2.494936215
88	2.49359251
89	2.492435812
90	2.490631472
91	2.489251402
92	2.488628133
93	2.487383825
94	2.486789827
95	2.484014857
96	2.482277308
97	2.481184591
98	2.480279922
99	2.477736352
