iter	Passed	Remaining
0	56	5630
1	59	2938
2	62	2015
3	64	1548
4	66	1272
5	69	1082
6	71	946
7	73	844
8	75	765
9	78	703
10	80	650
11	83	611
12	85	570
13	87	536
14	89	507
15	91	482
16	94	462
17	97	443
18	102	435
19	104	418
20	106	401
21	109	389
22	112	376
23	114	362
24	116	348
25	118	337
26	120	326
27	122	315
28	124	304
29	127	297
30	129	287
31	131	278
32	133	270
33	135	262
34	136	253
35	138	246
36	140	240
37	143	233
38	144	226
39	147	220
40	149	214
41	150	208
42	152	202
43	154	196
44	156	191
45	159	186
46	161	181
47	163	176
48	165	171
49	167	167
50	171	164
51	173	159
52	175	155
53	177	151
54	180	147
55	182	143
56	185	139
57	187	135
58	190	132
59	192	128
60	194	124
61	196	120
62	199	117
63	201	113
64	204	110
65	206	106
66	213	104
67	216	101
68	218	98
69	220	94
70	222	90
71	224	87
72	227	84
73	229	80
74	232	77
75	235	74
76	238	71
77	240	67
78	242	64
79	245	61
80	247	58
81	249	54
82	252	51
83	254	48
84	255	45
85	257	41
86	261	39
87	263	35
88	265	32
89	267	29
90	269	26
91	272	23
92	274	20
93	277	17
94	278	14
95	281	11
96	282	8
97	286	5
98	288	2
99	290	0
