,rental_date,rental_hour,rental_day,rental_year,holiday,dayofweek_n,dayofweek,working_day,season,peak,timesofday,rain,temp,rhum,wdsp,count_hour,count_day
172,2021-02-11,12,11,2021,False,3,Thursday,True,Winter,False,Afternoon,0.0,1.6,67,19,16,68
242,2021-02-15,14,15,2021,False,0,Monday,True,Winter,False,Afternoon,0.0,12.5,65,10,17,110
257,2021-02-16,13,16,2021,False,1,Tuesday,True,Winter,False,Afternoon,0.0,10.0,68,10,16,103
347,2021-02-21,11,21,2021,False,6,Sunday,False,Winter,False,Morning,0.0,10.0,67,12,17,146
350,2021-02-21,14,21,2021,False,6,Sunday,False,Winter,False,Afternoon,0.0,11.7,57,14,18,146
367,2021-02-22,14,22,2021,False,0,Monday,True,Winter,False,Afternoon,0.0,11.2,58,9,17,124
456,2021-02-27,12,27,2021,False,5,Saturday,False,Winter,False,Afternoon,0.0,10.3,69,5,19,158
458,2021-02-27,14,27,2021,False,5,Saturday,False,Winter,False,Afternoon,0.0,11.8,67,5,20,158
460,2021-02-27,16,27,2021,False,5,Saturday,False,Winter,False,Afternoon,0.0,10.9,68,3,16,158
462,2021-02-27,18,27,2021,False,5,Saturday,False,Winter,False,Evening,0.0,8.6,78,2,19,158
595,2021-03-07,11,7,2021,False,6,Sunday,False,Winter,False,Morning,0.0,6.6,62,7,20,157
597,2021-03-07,13,7,2021,False,6,Sunday,False,Winter,False,Afternoon,0.0,8.9,52,4,20,157
600,2021-03-07,16,7,2021,False,6,Sunday,False,Winter,False,Afternoon,0.0,9.5,52,4,17,157
615,2021-03-08,11,8,2021,False,0,Monday,True,Winter,False,Morning,0.0,8.0,71,8,16,110
616,2021-03-08,12,8,2021,False,0,Monday,True,Winter,False,Afternoon,0.0,9.2,70,8,17,110
767,2021-03-17,11,17,2021,True,2,Wednesday,False,Winter,False,Morning,0.0,8.7,81,12,18,171
768,2021-03-17,12,17,2021,True,2,Wednesday,False,Winter,False,Afternoon,0.0,10.3,71,9,19,171
769,2021-03-17,13,17,2021,True,2,Wednesday,False,Winter,False,Afternoon,0.0,11.4,66,11,24,171
770,2021-03-17,14,17,2021,True,2,Wednesday,False,Winter,False,Afternoon,0.0,11.9,60,12,17,171
772,2021-03-17,16,17,2021,True,2,Wednesday,False,Winter,False,Afternoon,0.0,12.6,48,10,16,171
790,2021-03-18,15,18,2021,False,3,Thursday,True,Winter,True,Afternoon,0.0,14.5,71,14,16,110
806,2021-03-19,12,19,2021,False,4,Friday,True,Winter,False,Afternoon,0.0,10.2,80,4,24,151
807,2021-03-19,13,19,2021,False,4,Friday,True,Winter,False,Afternoon,0.0,11.1,72,6,16,151
825,2021-03-20,11,20,2021,True,5,Saturday,False,Winter,False,Morning,0.0,9.4,89,9,16,148
829,2021-03-20,15,20,2021,True,5,Saturday,False,Winter,False,Afternoon,0.0,11.4,79,11,17,148
830,2021-03-20,16,20,2021,True,5,Saturday,False,Winter,False,Afternoon,0.0,11.7,79,11,17,148
842,2021-03-21,10,21,2021,False,6,Sunday,False,Spring,False,Morning,0.0,7.7,69,10,16,134
845,2021-03-21,13,21,2021,False,6,Sunday,False,Spring,False,Afternoon,0.0,9.6,68,9,17,134
954,2021-03-27,12,27,2021,False,5,Saturday,False,Spring,False,Afternoon,0.0,8.7,64,13,20,137
1010,2021-03-30,12,30,2021,False,1,Tuesday,True,Spring,False,Afternoon,0.0,15.0,63,6,20,113
1011,2021-03-30,13,30,2021,False,1,Tuesday,True,Spring,False,Afternoon,0.0,13.9,62,8,17,113
1077,2021-04-03,11,3,2021,False,5,Saturday,False,Spring,False,Morning,0.0,10.1,65,7,23,155
1078,2021-04-03,12,3,2021,False,5,Saturday,False,Spring,False,Afternoon,0.0,10.3,70,6,19,155
1079,2021-04-03,13,3,2021,False,5,Saturday,False,Spring,False,Afternoon,0.0,10.6,63,6,16,155
1096,2021-04-04,11,4,2021,True,6,Sunday,False,Spring,False,Morning,0.0,11.4,72,9,16,130
1101,2021-04-04,16,4,2021,True,6,Sunday,False,Spring,False,Afternoon,0.0,12.1,63,16,17,130
1207,2021-04-10,10,10,2021,False,5,Saturday,False,Spring,False,Morning,0.0,4.8,68,9,17,129
1292,2021-04-15,11,15,2021,False,3,Thursday,True,Spring,False,Morning,0.0,10.3,72,9,16,123
1311,2021-04-16,11,16,2021,False,4,Friday,True,Spring,False,Morning,0.0,10.4,58,10,17,133
1329,2021-04-17,11,17,2021,False,5,Saturday,False,Spring,False,Morning,0.0,11.2,57,10,18,153
1331,2021-04-17,13,17,2021,False,5,Saturday,False,Spring,False,Afternoon,0.0,11.3,56,14,26,153
1438,2021-04-23,12,23,2021,False,4,Friday,True,Spring,False,Afternoon,0.0,12.3,36,10,17,130
